tipo_propuesta_formativa_desc,propuesta_formativa_desc,anio_academico,actividad_desc,periodo_lectivo,catedra_desc,comision_desc,condicion_regularidad_desc,resultado_desc,cantidad_alumnos,total,porcentaje
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Libre,21,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Sin Actuación,17,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Regular,Regular,1,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,42,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Sin Actuación,35,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,30,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Libre,12,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Sin Actuación,28,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Regular,Regular,13,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,SWOBODA_11-00004,SWOBODA,Libre,Libre,9,,
