"Tipo Propuesta Formativa","Propuesta Formativa","Año","Período","Resultado","Finales"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Junio 2021","Aprobado","3.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Aprobado","12.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Julio 2021","Aprobado","6.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","3.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Octubre 2021","Aprobado","6.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Mayo 2021-Posgrado Ciencias Económicas","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Diciembre 2021","Aprobado","4.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2019","2019 - 2 - 2019","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2019","2019 - 2 - Turno Único 2019","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2020","2020 - 2 - Turno Único 2020","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2019","2019 - 2 - Turno Único 2019","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2020","2020 - 2 - Turno Único 2020","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2019","2019 - 2 - 2019","Aprobado","28.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2019","2019 - 2 - Turno Único 2019","Aprobado","13.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2019","2019 - 2 - 2019","Ausente","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2020","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2020","2020 - 2 - Turno Único 2020","Aprobado","21.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2020","2020 - 2 - Turno Octubre 2020","Aprobado","3.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","4.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Abril 2021","Aprobado","10.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Marzo 2021","Aprobado","9.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Junio 2021","Aprobado","6.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Julio 2021","Aprobado","15.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","5.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Mayo 2021-Posgrado Ciencias Económicas","Aprobado","3.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Noviembre 2021","Aprobado","2.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Diciembre 2021","Aprobado","4.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención en Economía","2021","2021 - 2 - P11 - Turno Junio 2021","VACIO/NULO","1.0"
"Posgrado","Doctorado en Demografía","2019","2019 - 2 - 2019","Aprobado","55.0"
"Posgrado","Doctorado en Demografía","2019","2019 - 2 - Turno Único 2019","Aprobado","23.0"
"Posgrado","Doctorado en Demografía","2019","2019 - 2 - 2019","Ausente","1.0"
"Posgrado","Doctorado en Demografía","2019","2019 - 2 - Turno Único 2019","Ausente","10.0"
"Posgrado","Doctorado en Demografía","2020","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","62.0"
"Posgrado","Doctorado en Demografía","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","52.0"
"Posgrado","Doctorado en Demografía","2020","2020 - 2 - Turno Único 2020","Aprobado","392.0"
"Posgrado","Doctorado en Demografía","2020","2020 - 2 - Turno Septiembre 2020","Aprobado","4.0"
"Posgrado","Doctorado en Demografía","2020","2020 - 2 - Turno Octubre 2020","Aprobado","1.0"
"Posgrado","Doctorado en Demografía","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","24.0"
"Posgrado","Doctorado en Demografía","2020","2020 - 2 - P11 - Turno Febrero 2021","Ausente","1.0"
"Posgrado","Doctorado en Demografía","2020","2020 - 2 - Turno Único 2020","Ausente","1.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Abril 2021","Aprobado","44.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Marzo 2021","Aprobado","11.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Junio 2021","Aprobado","44.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Aprobado","24.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Julio 2021","Aprobado","9.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","23.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Octubre 2021","Aprobado","32.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Mayo 2021-Posgrado Ciencias Económicas","Aprobado","42.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Noviembre 2021","Aprobado","20.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Diciembre 2021","Aprobado","37.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Abril 2021","Ausente","4.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Ausente","2.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Julio 2021","Ausente","1.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Noviembre 2021","Ausente","2.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Noviembre 2021","VACIO/NULO","9.0"
"Posgrado","Doctorado en Demografía","2021","2021 - 2 - P11 - Turno Diciembre 2021","VACIO/NULO","11.0"
"Posgrado","Especialista en Gestión Cultural","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Aprobado","6.0"
"Posgrado","Especialista en Gestión Cultural","2021","2021 - 2 - P11 - Turno Julio 2021","Aprobado","86.0"
"Posgrado","Especialista en Gestión Cultural","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","48.0"
"Posgrado","Especialista en Gestión Cultural","2021","2021 - 2 - P11 - Turno Noviembre 2021","Aprobado","236.0"
"Posgrado","Especialista en Gestión Cultural","2021","2021 - 2 - P11 - Turno Julio 2021","Ausente","6.0"
"Posgrado","Especialista en Gestión Cultural","2021","2021 - 2 - P11 - Turno Agosto 2021","Ausente","1.0"
"Posgrado","Especialista en Gestión Cultural","2021","2021 - 2 - P11 - Turno Noviembre 2021","Ausente","1.0"
"Posgrado","Especialista en Gestión Cultural","2021","2021 - 2 - P11 - Turno Noviembre 2021","Reprobado","15.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2019","2019 - 2 - 2019","Aprobado","114.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2019","2019 - 2 - Turno Único 2019","Aprobado","232.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2019","2019 - 2 - 2019","Ausente","3.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2019","2019 - 2 - Turno Único 2019","Ausente","3.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2019","2019 - 2 - 2019","Reprobado","3.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2019","2019 - 2 - Turno Único 2019","Reprobado","3.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","4.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","54.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Único 2020","Aprobado","96.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Septiembre 2020","Aprobado","98.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Octubre 2020","Aprobado","66.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","57.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Ausente","17.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Único 2020","Ausente","3.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Septiembre 2020","Ausente","2.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Noviembre 2020","Ausente","2.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - P11 - Turno Febrero 2021","Reprobado","1.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Reprobado","1.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Marzo 2021","Aprobado","48.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Junio 2021","Aprobado","26.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Aprobado","131.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Julio 2021","Aprobado","32.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","62.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Octubre 2021","Aprobado","23.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Mayo 2021-Posgrado Ciencias Económicas","Aprobado","1.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Noviembre 2021","Aprobado","48.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Diciembre 2021","Aprobado","13.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Marzo 2021","Ausente","2.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Junio 2021","Ausente","1.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Ausente","14.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Agosto 2021","Ausente","8.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Octubre 2021","Ausente","1.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Mayo 2021-Posgrado Ciencias Económicas","Ausente","1.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Noviembre 2021","Ausente","3.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Julio 2021","Reprobado","1.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Agosto 2021","Reprobado","4.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Octubre 2021","Reprobado","5.0"
"Posgrado","Especialización en Contabilidad Superior y Auditoría","2021","2021 - 2 - P11 - Turno Diciembre 2021","VACIO/NULO","7.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2019","2019 - 2 - 2019","Aprobado","19.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2019","2019 - 2 - Turno Único 2019","Aprobado","2.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2019","2019 - 2 - 2019","Ausente","2.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2020","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","1.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","17.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2020","2020 - 2 - Turno Único 2020","Aprobado","19.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2020","2020 - 2 - Turno Octubre 2020","Aprobado","19.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2021","2021 - 2 - P11 - Turno Abril 2021","Aprobado","2.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2021","2021 - 2 - P11 - Turno Junio 2021","Aprobado","1.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","13.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2021","2021 - 2 - P11 - Turno Octubre 2021","Aprobado","4.0"
"Posgrado","Especialización en Derecho del Trabajo y de la Seguridad Social","2021","2021 - 2 - P11 - Turno Diciembre 2021","Aprobado","13.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2019","2019 - 2 - 2019","Aprobado","65.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2019","2019 - 2 - Turno Único 2019","Aprobado","34.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2019","2019 - 2 - Turno Único 2019","Ausente","13.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","53.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2020","2020 - 2 - Turno Único 2020","Aprobado","1.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2020","2020 - 2 - Turno Septiembre 2020","Aprobado","37.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2020","2020 - 2 - Turno Octubre 2020","Aprobado","58.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","14.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2020","2020 - 2 - Turno Octubre 2020","Ausente","22.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2020","2020 - 2 - Turno Noviembre 2020","Ausente","12.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Abril 2021","Aprobado","9.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Marzo 2021","Aprobado","8.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Junio 2021","Aprobado","13.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Julio 2021","Aprobado","8.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Octubre 2021","Aprobado","2.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Mayo 2021-Posgrado Ciencias Económicas","Aprobado","12.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Noviembre 2021","Aprobado","16.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Diciembre 2021","Aprobado","8.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Marzo 2021","Ausente","1.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Mayo 2021-Posgrado Ciencias Económicas","Ausente","8.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Noviembre 2021","VACIO/NULO","8.0"
"Posgrado","Especialización en Gestión de Tecnologías Innovadoras","2021","2021 - 2 - P11 - Turno Diciembre 2021","VACIO/NULO","18.0"
"Posgrado","Especialización en Sindicatura Concursal","2019","2019 - 2 - 2019","Aprobado","52.0"
"Posgrado","Especialización en Sindicatura Concursal","2019","2019 - 2 - Turno Único 2019","Aprobado","35.0"
"Posgrado","Especialización en Sindicatura Concursal","2020","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","4.0"
"Posgrado","Especialización en Sindicatura Concursal","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","1.0"
"Posgrado","Especialización en Sindicatura Concursal","2020","2020 - 2 - Turno Único 2020","Aprobado","25.0"
"Posgrado","Especialización en Sindicatura Concursal","2020","2020 - 2 - Turno Septiembre 2020","Aprobado","7.0"
"Posgrado","Especialización en Sindicatura Concursal","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","2.0"
"Posgrado","Especialización en Tributación","2019","2019 - 2 - 2019","Aprobado","123.0"
"Posgrado","Especialización en Tributación","2019","2019 - 2 - Turno Único 2019","Aprobado","127.0"
"Posgrado","Especialización en Tributación","2019","2019 - 2 - 2019","Ausente","18.0"
"Posgrado","Especialización en Tributación","2019","2019 - 2 - 2019","Reprobado","6.0"
"Posgrado","Especialización en Tributación","2019","2019 - 2 - Turno Único 2019","Reprobado","1.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","2.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","43.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - Turno Único 2020","Aprobado","66.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - Turno Septiembre 2020","Aprobado","29.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - Turno Octubre 2020","Aprobado","22.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","7.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - Turno Único 2020","Ausente","8.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - Turno Septiembre 2020","Ausente","4.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - Turno Octubre 2020","Ausente","2.0"
"Posgrado","Especialización en Tributación","2020","2020 - 2 - Turno Septiembre 2020","Reprobado","3.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Abril 2021","Aprobado","6.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Marzo 2021","Aprobado","14.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Junio 2021","Aprobado","13.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Aprobado","1.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","36.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Octubre 2021","Aprobado","24.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Mayo 2021-Posgrado Ciencias Económicas","Aprobado","11.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Noviembre 2021","Aprobado","22.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Diciembre 2021","Aprobado","53.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Abril 2021","Ausente","8.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Marzo 2021","Ausente","4.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Junio 2021","Ausente","9.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Agosto 2021","Ausente","1.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Agosto 2021","Reprobado","3.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Diciembre 2021","Reprobado","2.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","VACIO/NULO","28.0"
"Posgrado","Especialización en Tributación","2021","2021 - 2 - P11 - Turno Noviembre 2021","VACIO/NULO","16.0"
"Posgrado","Maestría en Comercio Internacional","2019","2019 - 2 - 2019","Aprobado","50.0"
"Posgrado","Maestría en Comercio Internacional","2019","2019 - 2 - Turno Único 2019","Aprobado","87.0"
"Posgrado","Maestría en Comercio Internacional","2019","2019 - 2 - 2019","Ausente","2.0"
"Posgrado","Maestría en Comercio Internacional","2019","2019 - 2 - Turno Único 2019","Ausente","3.0"
"Posgrado","Maestría en Comercio Internacional","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","25.0"
"Posgrado","Maestría en Comercio Internacional","2020","2020 - 2 - Turno Único 2020","Aprobado","46.0"
"Posgrado","Maestría en Comercio Internacional","2020","2020 - 2 - Turno Septiembre 2020","Aprobado","22.0"
"Posgrado","Maestría en Comercio Internacional","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","21.0"
"Posgrado","Maestría en Comercio Internacional","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Ausente","1.0"
"Posgrado","Maestría en Comercio Internacional","2020","2020 - 2 - Turno Único 2020","Ausente","1.0"
"Posgrado","Maestría en Comercio Internacional","2020","2020 - 2 - Turno Octubre 2020","Ausente","5.0"
"Posgrado","Maestría en Comercio Internacional","2020","2020 - 2 - Turno Noviembre 2020","Ausente","8.0"
"Posgrado","Maestría en Comercio Internacional","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Reprobado","2.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Marzo 2021","Aprobado","25.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Junio 2021","Aprobado","18.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Aprobado","16.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Julio 2021","Aprobado","1.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","25.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Noviembre 2021","Aprobado","52.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Diciembre 2021","Aprobado","13.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Junio 2021","Ausente","1.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Julio 2021","Ausente","2.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Junio 2021","Reprobado","2.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Julio 2021","Reprobado","2.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Octubre 2021","VACIO/NULO","38.0"
"Posgrado","Maestría en Comercio Internacional","2021","2021 - 2 - P11 - Turno Diciembre 2021","VACIO/NULO","1.0"
"Posgrado","Maestría en Dirección de Negocios","2019","2019 - 2 - 2019","Aprobado","609.0"
"Posgrado","Maestría en Dirección de Negocios","2019","2019 - 2 - Turno Único 2019","Aprobado","41.0"
"Posgrado","Maestría en Dirección de Negocios","2019","2019 - 2 - 2019","Ausente","37.0"
"Posgrado","Maestría en Dirección de Negocios","2019","2019 - 2 - Turno Único 2019","Ausente","3.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","72.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","114.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - Turno Único 2020","Aprobado","277.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - Turno Septiembre 2020","Aprobado","157.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - Turno Octubre 2020","Aprobado","87.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","158.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - P11 - Turno Febrero 2021","Ausente","2.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - Turno Único 2020","Ausente","2.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - Turno Noviembre 2020","Ausente","1.0"
"Posgrado","Maestría en Dirección de Negocios","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Reprobado","2.0"
"Posgrado","Maestría en Dirección de Negocios","2021","2021 - 2 - P11 - Turno Marzo 2021","Aprobado","1.0"
"Posgrado","Maestría en Dirección de Negocios","2021","2021 - 2 - P11 - Turno Junio 2021","Aprobado","59.0"
"Posgrado","Maestría en Dirección de Negocios","2021","2021 - 2 - P11 - Turno Septiembre 2021 - Posgrado de Ciencias Económicas","Aprobado","112.0"
"Posgrado","Maestría en Dirección de Negocios","2021","2021 - 2 - P11 - Turno Julio 2021","Aprobado","103.0"
"Posgrado","Maestría en Dirección de Negocios","2021","2021 - 2 - P11 - Turno Agosto 2021","Aprobado","14.0"
