"Tipo Propuesta Formativa","Propuesta Formativa","Año","Período","Resultado","Finales"
"Grado","Contador Público","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Ausente","1147.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Febrero - Marzo","Reprobado","3423.0"
"Grado","Contador Público","2020","2020 - 2 - 11- Julio - Agosto","Reprobado","4485.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","3430.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Turno Especial de Mayo","Reprobado","650.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Reprobado","550.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Nivelación","Reprobado","9.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Nivelación","Aprobado","12.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Julio - Agosto","Aprobado","6732.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Turno Especial de Mayo","Aprobado","663.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Aprobado","667.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Aprobado","4663.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Julio - Agosto","Ausente","7541.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Turno Especial de Mayo","Ausente","1553.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Ausente","1025.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Ausente","6105.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Nivelación","Reprobado","8.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Julio - Agosto","Reprobado","3903.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Turno Especial de Mayo","Reprobado","451.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Reprobado","508.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Reprobado","2872.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","VACIO/NULO","733.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Mayo","Aprobado","165.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Julio - Agosto","Aprobado","2007.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","1669.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Nivelación","Aprobado","1.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Septiembre","Aprobado","152.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - 11 - Febrero - Marzo","Aprobado","893.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Mayo","Ausente","199.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Julio - Agosto","Ausente","1855.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","1322.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Septiembre","Ausente","153.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - 11 - Febrero - Marzo","Ausente","1129.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Mayo","Reprobado","63.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Julio - Agosto","Reprobado","750.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","627.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Nivelación","Reprobado","1.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - Septiembre","Reprobado","52.0"
"Grado","Licenciatura en Administración","2019","2019 - 2 - 11 - Febrero - Marzo","Reprobado","587.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Febrero - Marzo","Aprobado","1130.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11- Julio - Agosto","Aprobado","1837.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","1782.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Turno Especial de Mayo","Aprobado","170.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Aprobado","159.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Nivelación","Aprobado","4.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Febrero - Marzo","Ausente","1487.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11- Julio - Agosto","Ausente","2099.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","1834.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Turno Especial de Mayo","Ausente","326.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Ausente","245.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Nivelación","Ausente","1.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Febrero - Marzo","Reprobado","737.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11- Julio - Agosto","Reprobado","1004.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","792.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Turno Especial de Mayo","Reprobado","137.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Reprobado","86.0"
"Grado","Licenciatura en Administración","2020","2020 - 2 - 11 - Nivelación","Reprobado","5.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Nivelación","Aprobado","3.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Julio - Agosto","Aprobado","2017.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Turno Especial de Mayo","Aprobado","148.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Aprobado","163.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Aprobado","1400.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Julio - Agosto","Ausente","1834.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Turno Especial de Mayo","Ausente","258.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Ausente","210.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Ausente","1514.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Nivelación","Reprobado","3.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Julio - Agosto","Reprobado","1032.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Turno Especial de Mayo","Reprobado","62.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Reprobado","88.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Reprobado","673.0"
"Grado","Licenciatura en Administración","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","VACIO/NULO","141.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Mayo","Aprobado","59.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Julio - Agosto","Aprobado","650.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","637.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Nivelación","Aprobado","4.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Septiembre","Aprobado","55.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - 11 - Febrero - Marzo","Aprobado","432.0"
"Grado","Licenciatura en Economía","2019","2019 - 2 - Mayo","Ausente","46.0"
